anio,provincia,departamento,sector,ambito,nivel,matricula_inicial,promovidos,no_promovidos,salidos_sin_pase,ultimo_anio_inscripto,tasa_repitencia,tasa_abandono,tasa_promocion_ef
2024,Buenos Aires,MAIPU,Estatal,Rural,Primaria,132,124,1,0,130,0.76,0.0,95.38
2024,Buenos Aires,MAIPU,Estatal,Rural,Secundaria,105,53,8,0,97,7.62,0.0,54.64
2024,Buenos Aires,MAIPU,Estatal,Urbano,Primaria,609,596,8,3,604,1.31,0.49,98.68
2024,Buenos Aires,MAIPU,Estatal,Urbano,Secundaria,641,592,8,0,640,1.25,0.0,92.5
2024,Buenos Aires,MALVINAS ARGENTINAS,Estatal,Urbano,Primaria,20412,18865,743,18,20395,3.64,0.09,92.5
2024,Buenos Aires,MALVINAS ARGENTINAS,Estatal,Urbano,Secundaria,21475,10936,4274,23,21447,19.9,0.11,50.99
2024,Buenos Aires,MALVINAS ARGENTINAS,Privado,Urbano,Primaria,15553,15223,54,6,15489,0.35,0.04,98.28
2024,Buenos Aires,MALVINAS ARGENTINAS,Privado,Urbano,Secundaria,11695,7398,749,3,11660,6.4,0.03,63.45
2024,Buenos Aires,MAR CHIQUITA,Estatal,Rural,Primaria,600,585,10,0,596,1.67,0.0,98.15
2024,Buenos Aires,MAR CHIQUITA,Estatal,Rural,Secundaria,802,595,63,0,751,7.86,0.0,79.23
2024,Buenos Aires,MAR CHIQUITA,Estatal,Urbano,Primaria,2020,1915,45,1,1992,2.23,0.05,96.13
2024,Buenos Aires,MAR CHIQUITA,Estatal,Urbano,Secundaria,1709,885,292,0,1699,17.09,0.0,52.09
2024,Buenos Aires,MARCOS PAZ,Estatal,Rural,Primaria,523,509,3,0,512,0.57,0.0,99.41
2024,Buenos Aires,MARCOS PAZ,Estatal,Urbano,Primaria,5736,5503,165,0,5718,2.88,0.0,96.24
2024,Buenos Aires,MARCOS PAZ,Estatal,Urbano,Secundaria,6027,3033,1093,13,5900,18.14,0.22,51.41
